det-grounding-dino-interface	文字與影像交互作用及可見框的限制	工程圖把文字／影像互動改成可見token–區域對應與框；主線保留，避免通用熱點輸出。
yolo-world	離線詞彙預計算／快取與文字不是布林NOT的界線	重建文字嵌入如何影響候選及輸出框；現主線主要靠文字和重複小PCB，手機更難讀，第四圖重複段落與自測需改。
yoloe	文字／視覺提示、SAVPE ROI與權重的分工	工程圖補提示區域如何轉為表示及對應框，勿只列提示名稱；主線保留。
ad-patchcore	正常特徵庫、coreset、最近鄰與污染反例	工程圖重畫實際查庫距離及熱圖來源；深讀手機2章數值與留白重排，保留作者／第三方漏檢誤報案例。
ad-padim	同位置均值／協方差與距離	工程圖須呈現同位置分布、相關方向及異常距離，通用條塊未交代位置統計。
ad-anomalydino	固定DINOv2、參考庫與最近鄰；深讀最高1%聚合及作者反例	工程圖補固定特徵與查庫；深讀6章180度旋轉板仍留正向刻字，應用同一圖剛性旋轉重做該反例，手機細字重排。
ad-subspacead	正常子空間、正交殘差與全維投影反例	工程圖重畫投影幾何，工程2公式缺字方框需修；主線保留。
ad-stfpm	固定教師／學生的多尺度特徵差	工程圖補同位置不同層的教師學生對照及差異彙整，不能只放一般熱點。
ad-rd4ad	瓶頸與反向特徵重建	工程圖補教師→瓶頸→反向解碼及各層對照；需與STFPM的直接模仿看得出差別。
ad-efficientad	local T/S1與global AE/S2、校正融合	工程圖補雙分支；主反例從圓柱托盤換金屬刮痕需統一案例；深讀手機1/2/3/4/5/7/8重排，4章替代輸出誤串接，7章維護成本需可見機制。
ad-ae	原圖與重建同位置相減，40與150差110	工程圖須顯示重建及差值從何而來，保留主線算例，不能只貼結果熱點。
ad-draem	原圖＋重建進判別分割與兩種監督	工程圖補重建及判別的分工，避免把學習分割誤讀為單純像素相減。
ad-uniad	近鄰注意力遮蔽、query與訓練擾動	工程圖補可見注意力限制及重建路徑，分清遮蔽連結與擦掉原圖。
ad-dinomaly	固定DINOv2、訓練Dropout、線性聚合及分層差異	工程圖須呈現訓練／推論差別與層分組，通用條塊無法表達機制。
ad-invad	輸入空間條件調制與重建	工程2公式缺字方框；重畫空間條件如何調制特徵，維持SSM不是state-space model的界線。
ad-diffad	兩噪聲尺度估計、引導恢復後學習定位	工程圖「抹掉真缺陷」警語混淆恢復圖與最後檢測目的，改成恢復→差異／分割的可追路徑。
ad-ddad	原圖引導多步去噪與像素／適配特徵差異	工程2公式缺字方框；重畫原圖引導和多步變化，勿以單一熱點概括。
ad-winclip	人工狀態提示、視窗聚合及正常參考擴充	工程圖補視窗分數與彙整；手機比較／反例小字減量，主線保留。
ad-anomalyclip	輔助資料學習物件無關提示與目標零樣本界線	工程圖補提示學習及定位分工；手機比較／反例細字與小圖放大。
ad-anomalygpt	內建定位轉prompt learner再進LLM	舊工程圖把specialist map畫成外部受控輸入，需重畫內建定位支路；手機密字減量。
frame-difference	兩幀差分雙帶不是兩物件、閃光不是移動	工程1標題／時間下標缺字；工程圖需顯示同位置相減與雙邊帶來源。
background-subtraction	MOG2背景更新與停留物件吸收	工程圖補累積背景、更新與前景變化，勿混成兩幀差分。
lucas-kanade	局部紋理、角點及金字塔	工程2梯度下標缺字，補局部像素變化至位移向量；共用反例需讓LK／RAFT接受相同清楚與反光條件。
raft	全配對相關與兩幀迭代光流	工程圖補相關查詢和向量更新；與LK反例改同條件比較，主線保留。
bytetrack	高分第一次、剩餘低分第二次關聯及ID限制	工程圖補框–軌跡匹配、ID存續／丟失，不用熱區代替追蹤，也不把下游計數當內建保證。
convlstm	空間hidden/cell、卷積門控與序列重置	工程2時間下標缺字，需重畫記憶保留／更新及任務head，不能以通用熱點代表狀態。
videomae	tube遮蔽像素重建預訓練與下游分類	工程圖分清預訓練decoder和分類推論head，呈現時空遮蔽與輸出。
v-jepa	2024版遮蔽目標特徵與EMA教師	工程圖補特徵預測及停止梯度／教師更新界線；手機圖說只需間距改善，量測未發現按鈕遮字。
dinov2	跨視圖教師學生表示與下游檢索	工程圖補表示學習與部署兩階段；支架／接頭切至墊圈反例可局部統一案例。
dinov3	Gram關係錨定及特徵保留	工程圖把訓練錨定塞入單一推論路徑，需分開；反例工件切換及手机細字局部修正。
clip	雙編碼器、正規化與候選相似度	工程圖把並行編碼器畫成串接、排名画成熱點，需修；手機比較圖字太密。
siglip	逐對正負配對損失及候選限制	工程圖雙編碼器應並行，結果用配對分數／排名，不能用熱點；手機比較減量。
llava	原版投影橋接與可見螺絲／未知根因界線	工程圖補影像表示經投影與文字匯合至LLM、輸出回答，不用通用熱點。
qwen-vl	明確Qwen2-VL、動態解析度／M-RoPE與低像素限制	工程圖補token／位置與多模態輸出，避免通用PCB條塊；主線保留。
gemini-vision	API請求、JSON解析不等於內容正確與人工覆核	工程圖須顯示可核對欄位／證據，不用熱點當回答；圓接頭轉方端子的反例可統一。
defectfill	少量缺陷與mask適配、LoRA／損失及候選篩選	工程圖補正常圖＋指定mask→合成圖與候選篩選，區分感知差異和物理真實。
anomalydiffusion	外觀／空間條件、弱區域回饋與背景融合	工程圖補兩種條件及生成結果，保留兩mask只生一缺陷的錯標反例。
tf-idg	固定權重、生成時特徵對齊與紋理保留	工程圖補生成時更新對象與局部條件，避免誤示為重新訓練模型；保留跨材質失敗。
controlnet	固定主幹、可訓練控制分支與零初始化連接	工程圖需顯示控制條件如何接入去噪，不能只貼通用熱點；保留輪廓未描述裂紋反例。
inpainting	mask＋上下文去噪及任務非單一模型	工程圖改成遮罩內外與修補影像，保留真孔被補平但金屬未修復的界線。
diffusion-restoration	先驗與觀測一致性、復原非唯一解	工程圖補觀測退化與候選核對，不能只畫異常熱區；保留两解退化後近似相同的反例。
deblur	展寬訊號、估計銳利邊緣及振鈴反例	工程2近似符號缺字方框；工程圖補模糊／復原邊緣及獨立觀測，勿以熱點取代。
super-resolution	插值與學習估計、新像素不等於新觀測	工程圖補低採樣至高解析候選及非唯一細節；矩形板切圓板反例可局部統一案例。
